SYMBOL,NAME OF COMPANY, SERIES
ELGIRUBCO,Elgi Rubber Company Limited,EQ
ELIN,Elin Electronics Limited,EQ
ELLEN,Ellenbarrie Industrial Gases Limited,EQ
EMAMILTD,Emami Limited,EQ
EMAMIPAP,Emami Paper Mills Limited,EQ
EMAMIREAL,Emami Realty Limited,EQ
EMBDL,Embassy Developments Limited,BE
EMCURE,Emcure Pharmaceuticals Limited,EQ
EMIL,Electronics Mart India Limited,EQ
EMKAY,Emkay Global Financial Services Limited,EQ
EMMBI,Emmbi Industries Limited,EQ
EMMVEE,Emmvee Photovoltaic Power Limited,EQ
EMSLIMITED,EMS Limited,EQ
EMUDHRA,eMudhra Limited,EQ
ENDURANCE,Endurance Technologies Limited,EQ
ENERGYDEV,Energy Development Company Limited,BE
ENGINERSIN,Engineers India Limited,EQ
ENIL,Entertainment Network (India) Limited,EQ
ENRIN,Siemens Energy India Limited,EQ
ENTERO,Entero Healthcare Solutions Limited,EQ
EPACK,EPACK Durable Limited,EQ
EPACKPEB,EPack Prefab Technologies Limited,EQ
EPIGRAL,Epigral Limited,EQ
EPL,EPL Limited,EQ
EQUIPPP,Equippp Social Impact Technologies Limited,BE
EQUITASBNK,Equitas Small Finance Bank Limited,EQ
ERIS,Eris Lifesciences Limited,EQ
ESABINDIA,Esab India Limited,EQ
ESAFSFB,ESAF Small Finance Bank Limited,EQ
ESCORTS,Escorts Kubota Limited,EQ
ESSARSHPNG,Essar Shipping Limited,EQ
ESSENTIA,Integra Essentia Limited,EQ
ESTER,Ester Industries Limited,EQ
ETERNAL,ETERNAL LIMITED,EQ
ETHOSLTD,Ethos Limited,EQ
EUREKAFORB,Eureka Forbes Limited,EQ
EUROBOND,Euro Panel Products Limited,EQ
EUROPRATIK,Euro Pratik Sales Limited,EQ
EUROTEXIND,Eurotex Industries and Exports Limited,BE
EVEREADY,Eveready Industries India Limited,EQ
EVERESTIND,Everest Industries Limited,EQ
EXCEL,Excel Realty N Infra Limited,EQ
EXCELINDUS,Excel Industries Limited,EQ
EXCELSOFT,Excelsoft Technologies Limited,EQ
EXICOM,Exicom Tele-Systems Limited,EQ
EXIDEIND,Exide Industries Limited,EQ
EXPLEOSOL,Expleo Solutions Limited,EQ
EXXARO,Exxaro Tiles Limited,BE
FABTECH,Fabtech Technologies Limited,EQ
FACT,Fertilizers and Chemicals Travancore Limited,EQ
FAIRCHEMOR,Fairchem Organics Limited,EQ
FAZE3Q,Faze Three Limited,EQ
FCL,Fineotex Chemical Limited,EQ
FCSSOFT,FCS Software Solutions Limited,EQ
FDC,FDC Limited,EQ
FEDERALBNK,The Federal Bank  Limited,EQ
FEDFINA,Fedbank Financial Services Limited,EQ
FEL,Future Enterprises Limited,BZ
FELDVR,Future Enterprises Limited,BZ
FIBERWEB,Fiberweb (India) Limited,EQ
FIEMIND,Fiem Industries Limited,EQ
FILATEX,Filatex India Limited,EQ
FILATFASH,Filatex Fashions Limited,EQ
FINCABLES,Finolex Cables Limited,EQ
FINEORG,Fine Organic Industries Limited,EQ
FINKURVE,Finkurve Financial Services Limited,EQ
FINOPB,Fino Payments Bank Limited,EQ
FINPIPE,Finolex Industries Limited,EQ
FIRSTCRY,Brainbees Solutions Limited,EQ
FISCHER,Fischer Medical Ventures Limited,EQ
FIVESTAR,Five-Star Business Finance Limited,EQ
FLAIR,Flair Writing Industries Limited,EQ
FLEXITUFF,Flexituff Ventures International Limited,EQ
FLFL,Future Lifestyle Fashions Limited,BZ
FLUOROCHEM,Gujarat Fluorochemicals Limited,EQ
FMGOETZE,Federal-Mogul Goetze (India) Limited.,EQ
FMNL,Future Market Networks Limited,EQ
FOCUS,Focus Lighting and Fixtures Limited,EQ
FOODSIN,Foods & Inns Limited,EQ
FORCEMOT,FORCE MOTORS LTD,EQ
FORTIS,Fortis Healthcare Limited,EQ
FOSECOIND,Foseco India Limited,EQ
FRACTAL,Fractal Analytics Limited,EQ
FSL,Firstsource Solutions Limited,EQ
FUSION,Fusion Finance Limited,EQ
GABRIEL,Gabriel India Limited,EQ
GAEL,Gujarat Ambuja Exports Limited,EQ
GAIL,GAIL (India) Limited,EQ
GALAPREC,Gala Precision Engineering Limited,EQ
GALAXYSURF,Galaxy Surfactants Limited,EQ
GALLANTT,Gallantt Ispat Limited,EQ
GANDHAR,Gandhar Oil Refinery (India) Limited,EQ
GANDHITUBE,Gandhi Special Tubes Limited,EQ
GANECOS,Ganesha Ecosphere Limited,EQ
GANESHBE,Ganesh Benzoplast Limited,EQ
GANESHCP,Ganesh Consumer Products Limited,EQ
GANESHHOU,GANESH HOUSING LIMITED,EQ
GANGAFORGE,Ganga Forging Limited,EQ
GANGESSECU,Ganges Securities Limited,EQ
GARFIBRES,Garware Technical Fibres Limited,EQ
GARUDA,Garuda Construction and Engineering Limited,EQ
GATECH,GACM Technologies Limited,EQ
GATECHDVR,GACM Technologies Limited,EQ
GATEWAY,Gateway Distriparks Limited,EQ
GAYAHWS,Gayatri Highways Limited,EQ
GAYAPROJ,Gayatri Projects Limited,BZ
GCSL,Gretex Corporate Services Limited,BE
GEECEE,GeeCee Ventures Limited,EQ
GEEKAYWIRE,Geekay Wires Limited,EQ
GEMAROMA,Gem Aromatics Limited,EQ
GENCON,Generic Engineering Construction and Projects Limited,EQ
GENESYS,Genesys International Corporation Limited,EQ
GENSOL,Gensol Engineering Limited,BZ
GENUSPAPER,Genus Paper & Boards Limited,EQ
GENUSPOWER,Genus Power Infrastructures Limited,BE
GEOJITFSL,Geojit Financial Services Limited,EQ
GESHIP,The Great Eastern Shipping Company Limited,EQ
GFLLIMITED,GFL Limited,EQ
GFSTEELS,Grand Foundry Limited,BE
GHCL,GHCL Limited,EQ
GHCLTEXTIL,GHCL Textiles Limited,EQ
GICHSGFIN,GIC Housing Finance Limited,EQ
GICRE,General Insurance Corporation of India,EQ
GILLANDERS,Gillanders Arbuthnot & Company Limited,EQ
GILLETTE,Gillette India Limited,EQ
GINNIFILA,Ginni Filaments Limited,EQ
GIPCL,Gujarat Industries Power Company Limited,EQ
GKENERGY,GK Energy Limited,EQ
GKSL,Gujarat Kidney And Super Speciality Limited,EQ
GKWLIMITED,GKW Limited,EQ
GLAND,Gland Pharma Limited,EQ
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,EQ
GLENMARK,Glenmark Pharmaceuticals Limited,EQ
GLFL,Gujarat Lease Financing Limited,EQ
GLOBAL,Global Education Limited,BE
GLOBALE,Globale Tessile Limited,EQ
GLOBALVECT,Global Vectra Helicorp Limited,EQ
GLOBE,GLOBE ENTERPRISES (INDIA) LIMITED,EQ
GLOBECIVIL,Globe Civil Projects Limited,EQ
GLOBUSSPR,Globus Spirits Limited,EQ
GLOSTERLTD,Gloster Limited,EQ
GLOTTIS,Glottis Limited,EQ
GMBREW,GM Breweries Limited,EQ
GMDCLTD,Gujarat Mineral Development Corporation Limited,EQ
GMMPFAUDLR,GMM Pfaudler Limited,EQ
GMRAIRPORT,GMR AIRPORTS LIMITED,EQ
GMRP&UI,GMR Power and Urban Infra Limited,EQ
GNA,GNA Axles Limited,EQ
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,EQ
GOACARBON,Goa Carbon Limited,EQ
GOCLCORP,GOCL Corporation Limited,EQ
GOCOLORS,Go Fashion (India) Limited,EQ
GODAVARIB,Godavari Biorefineries Limited,EQ
GODFRYPHLP,Godfrey Phillips India Limited,EQ
GODIGIT,Go Digit General Insurance Limited,EQ
GODREJAGRO,Godrej Agrovet Limited,EQ
GODREJCP,Godrej Consumer Products Limited,EQ
GODREJIND,Godrej Industries Limited,EQ
GODREJPROP,Godrej Properties Limited,EQ
GOKEX,Gokaldas Exports Limited,EQ
GOKUL,Gokul Refoils and Solvent Limited,EQ
GOKULAGRO,Gokul Agro Resources Limited,EQ
GOLDENTOBC,Golden Tobacco Limited,BZ
GOLDIAM,Goldiam International Limited,EQ
GOLDTECH,AION-TECH SOLUTIONS LIMITED,EQ
GOODLUCK,Goodluck India Limited,EQ
GOPAL,Gopal Snacks Limited,EQ
GOYALALUM,Goyal Aluminiums Limited,BE
GPIL,Godawari Power And Ispat limited,EQ
GPPL,Gujarat Pipavav Port Limited,EQ
GPTHEALTH,GPT Healthcare Limited,EQ
GPTINFRA,GPT Infraprojects Limited,EQ
GRANULES,Granules India Limited,EQ
GRAPHITE,Graphite India Limited,EQ
GRASIM,Grasim Industries Limited,EQ
GRAVITA,Gravita India Limited,EQ
GREAVESCOT,Greaves Cotton Limited,EQ
GREENLAM,Greenlam Industries Limited,EQ
GREENPANEL,Greenpanel Industries Limited,EQ
GREENPLY,Greenply Industries Limited,EQ
GREENPOWER,Orient Green Power Company Limited,EQ
GRINDWELL,Grindwell Norton Limited,EQ
GRINFRA,G R Infraprojects Limited,EQ
GRMOVER,GRM Overseas Limited,EQ
GROBTEA,The Grob Tea Company Limited,EQ
GROWW,Billionbrains Garage Ventures Limited,EQ
GRPLTD,GRP Limited,EQ
GRSE,Garden Reach Shipbuilders & Engineers Limited,EQ
GRWRHITECH,Garware Hi-Tech Films Limited,EQ
GSFC,Gujarat State Fertilizers & Chemicals Limited,EQ
GSLSU,Global Surfaces Limited,BE
GSPL,Gujarat State Petronet Limited,EQ
GSS,GSS Infotech Limited,EQ
GTECJAINX,G-TEC JAINX EDUCATION LIMITED,EQ
GTL,GTL Limited,EQ
GTLINFRA,GTL Infrastructure Limited,EQ
GTPL,GTPL Hathway Limited,EQ
GUFICBIO,Gufic Biosciences Limited,EQ
GUJALKALI,Gujarat Alkalies and Chemicals Limited,EQ
GUJAPOLLO,Gujarat Apollo Industries Limited,EQ
GUJGASLTD,Gujarat Gas Limited,EQ
GUJRAFFIA,Gujarat Raffia Industries Limited,BE
GUJTHEM,Gujarat Themis Biosyn Limited,EQ
GULFOILLUB,Gulf Oil Lubricants India Limited,EQ
GULFPETRO,GP Petroleums Limited,EQ
GULPOLY,Gulshan Polyols Limited,EQ
GVKPIL,GVK Power & Infrastructure Limited,BE
GVPIL,GE Power India Limited,EQ
GVPTECH,GVP Infotech Limited,EQ
GVT&D,GE Vernova T&D India Limited,EQ
HAL,Hindustan Aeronautics Limited,EQ
HALDER,Halder Venture Limited,BE
HALEOSLABS,HALEOS LABS LIMITED,BE
HAPPSTMNDS,Happiest Minds Technologies Limited,EQ
HAPPYFORGE,Happy Forgings Limited,EQ
HARDWYN,Hardwyn India Limited,BE
HARIOMPIPE,Hariom Pipe Industries Limited,EQ
HARRMALAYA,Harrisons  Malayalam Limited,EQ
HARSHA,Harsha Engineers International Limited,EQ
HATHWAY,Hathway Cable & Datacom Limited,EQ
HATSUN,Hatsun Agro Product Limited,EQ
HAVELLS,Havells India Limited,EQ
HAVISHA,Sri Havisha Hospitality and Infrastructure Limited,EQ
HBLENGINE,HBL Engineering Limited,EQ
HBSL,HB Stockholdings Limited,BE
HCC,Hindustan Construction Company Limited,EQ
HCG,Healthcare Global Enterprises Limited,EQ
HCL-INSYS,HCL Infosystems Limited,EQ
HCLTECH,HCL Technologies Limited,EQ
HDBFS,HDB Financial Services Limited,EQ
HDFCAMC,HDFC Asset Management Company Limited,EQ
HDFCBANK,HDFC Bank Limited,EQ
HDFCLIFE,HDFC Life Insurance Company Limited,EQ
HDIL,Housing Development and Infrastructure Limited,BZ
HEADSUP,Heads UP Ventures Limited,EQ
HECPROJECT,HEC Infra Projects Limited,EQ
HEG,HEG Limited,EQ
HEIDELBERG,HeidelbergCement India Limited,EQ
HEMIPROP,Hemisphere Properties India Limited,EQ
HERANBA,Heranba Industries Limited,EQ
HERITGFOOD,Heritage Foods Limited,EQ
HEROMOTOCO,Hero MotoCorp Limited,EQ
HESTERBIO,Hester Biosciences Limited,EQ
HEXATRADEX,Hexa Tradex Limited,EQ
HEXT,Hexaware Technologies Limited,EQ
HFCL,HFCL Limited,EQ
HGINFRA,H.G. Infra Engineering Limited,EQ
HGM,HandsOn Global Management (HGM) Limited,EQ
HGS,Hinduja Global Solutions Limited,EQ
HIKAL,Hikal Limited,EQ
HILINFRA,Highway Infrastructure Limited,EQ
HILTON,Hilton Metal Forging Limited,EQ
HIMATSEIDE,Himatsingka Seide Limited,EQ
HINDALCO,Hindalco Industries Limited,EQ
HINDCOMPOS,Hindustan Composites Limited,EQ
HINDCON,Hindcon Chemicals Limited,EQ
HINDCOPPER,Hindustan Copper Limited,EQ
HINDOILEXP,Hindustan Oil Exploration Company Limited,EQ
HINDPETRO,Hindustan Petroleum Corporation Limited,EQ
HINDUNILVR,Hindustan Unilever Limited,EQ
HINDWAREAP,Hindware Home Innovation Limited,EQ
HINDZINC,Hindustan Zinc Limited,EQ
HIRECT,Hind Rectifiers Limited,EQ
HISARMETAL,Hisar Metal Industries Limited,EQ
HITECH,Hi-Tech Pipes Limited,EQ
HITECHCORP,Hitech Corporation Limited,EQ
HITECHGEAR,The Hi-Tech Gears Limited,BE
HLEGLAS,HLE Glascoat Limited,EQ
HLVLTD,HLV LIMITED,EQ
HMAAGRO,HMA Agro Industries Limited,EQ
HMT,HMT Limited,BZ
HMVL,Hindustan Media Ventures Limited,EQ
HNDFDS,Hindustan Foods Limited,EQ
HOMEFIRST,Home First Finance Company India Limited,EQ
HONASA,Honasa Consumer Limited,EQ
HONAUT,Honeywell Automation India Limited,EQ
HONDAPOWER,Honda India Power Products Limited,EQ
HPAL,HP Adhesives Limited,EQ
HPIL,Hindprakash Industries Limited,EQ
HPL,HPL Electric & Power Limited,EQ
HSCL,Himadri Speciality Chemical Limited,EQ
HTMEDIA,HT Media Limited,EQ
HUBTOWN,Hubtown Limited,EQ
HUDCO,Housing & Urban Development Corporation Limited,EQ
HUHTAMAKI,Huhtamaki India Limited,EQ
HYBRIDFIN,Hybrid Financial Services Limited,EQ
HYUNDAI,Hyundai Motor India Limited,EQ
IBULLSLTD,Indiabulls Limited,EQ
ICDSLTD,ICDS Limited,EQ
ICEMAKE,Ice Make Refrigeration Limited,EQ
ICICIAMC,ICICI Prudential Asset Management Company Limited,EQ
ICICIBANK,ICICI Bank Limited,EQ
ICICIGI,ICICI Lombard General Insurance Company Limited,EQ
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,EQ
ICIL,Indo Count Industries Limited,EQ
ICRA,ICRA Limited,EQ
IDBI,IDBI Bank Limited,EQ
IDEA,Vodafone Idea Limited,EQ
IDEAFORGE,Ideaforge Technology Limited,EQ
IDFCFIRSTB,IDFC First Bank Limited,EQ
IEX,Indian Energy Exchange Limited,EQ
IFBAGRO,IFB Agro Industries Limited,EQ
IFBIND,IFB Industries Limited,EQ
IFCI,IFCI Limited,EQ
IFGLEXPOR,IFGL Refractories Limited,EQ
IGARASHI,Igarashi Motors India Limited,EQ
IGCL,Indogulf Cropsciences Limited,EQ
IGIL,International Gemmological Institute (India) Limited,EQ
IGL,Indraprastha Gas Limited,EQ
IGPL,IG Petrochemicals Limited,EQ
IIFL,IIFL Finance Limited,EQ
IIFLCAPS,IIFL Capital Services Limited,EQ
IITL,Industrial Investment Trust Limited,EQ
IKIO,IKIO Technologies Limited,EQ
IKS,Inventurus Knowledge Solutions Limited,EQ
IL&FSENGG,IL&FS Engineering and Construction Company Limited,BZ
IL&FSTRANS,IL&FS Transportation Networks Limited,BZ
IMAGICAA,Imagicaaworld Entertainment Limited,EQ
IMFA,Indian Metals & Ferro Alloys Limited,EQ
IMPAL,India Motor Parts and Accessories Limited,EQ
IMPEXFERRO,Impex Ferro Tech Limited,BZ
INCREDIBLE,INCREDIBLE INDUSTRIES LIMITED,EQ
INDBANK,Indbank Merchant Banking Services Limited,EQ
INDGN,Indegene Limited,EQ
INDHOTEL,The Indian Hotels Company Limited,EQ
INDIACEM,The India Cements Limited,EQ
INDIAGLYCO,India Glycols Limited,EQ
INDIAMART,Indiamart Intermesh Limited,EQ
INDIANB,Indian Bank,EQ
INDIANCARD,Indian Card Clothing Company Limited,EQ
INDIANHUME,Indian Hume Pipe Company Limited,EQ
INDIASHLTR,India Shelter Finance Corporation Limited,EQ
INDIGO,InterGlobe Aviation Limited,EQ
INDIGOPNTS,Indigo Paints Limited,EQ
INDIQUBE,Indiqube Spaces Limited,EQ
INDNIPPON,India Nippon Electricals Limited,EQ
INDOAMIN,Indo Amines Limited,EQ
INDOBORAX,Indo Borax & Chemicals Limited,EQ
INDOCO,Indoco Remedies Limited,EQ
INDOFARM,Indo Farm Equipment Limited,EQ
INDORAMA,Indo Rama Synthetics (India) Limited,EQ
INDOSTAR,IndoStar Capital Finance Limited,EQ
INDOTECH,Indo Tech Transformers Limited,EQ
INDOTHAI,Indo Thai Securities Limited,EQ
INDOUS,Indo Us Biotech Limited,EQ
INDOWIND,Indowind Energy Limited,EQ
INDRAMEDCO,Indraprastha Medical Corporation Limited,EQ
INDSWFTLAB,Ind-Swift Laboratories Limited,EQ
INDTERRAIN,Indian Terrain Fashions Limited,EQ
INDUSINDBK,IndusInd Bank Limited,EQ
INDUSTOWER,Indus Towers Limited,EQ
INFOBEAN,InfoBeans Technologies Limited,EQ
INFOMEDIA,Infomedia Press Limited,EQ
INFY,Infosys Limited,EQ
INGERRAND,Ingersoll Rand (India) Limited,EQ
INNOVACAP,Innova Captab Limited,EQ
INNOVANA,Innovana Thinklabs Limited,EQ
INOXGREEN,Inox Green Energy Services Limited,EQ
INOXINDIA,INOX India Limited,EQ
INOXWIND,Inox Wind Limited,EQ
INSECTICID,Insecticides (India) Limited,EQ
INSPIRISYS,Inspirisys Solutions Limited,EQ
INTELLECT,Intellect Design Arena Limited,EQ
INTENTECH,Intense Technologies Limited,EQ
INTERARCH,Interarch Building Solutions Limited,EQ
INTLCONV,International Conveyors Limited,EQ
INVENTURE,Inventure Growth & Securities Limited,EQ
IOB,Indian Overseas Bank,EQ
IOC,Indian Oil Corporation Limited,EQ
IOLCP,IOL Chemicals and Pharmaceuticals Limited,EQ
IONEXCHANG,ION Exchange (India) Limited,EQ
IPCALAB,IPCA Laboratories Limited,EQ
IPL,India Pesticides Limited,EQ
IRB,IRB Infrastructure Developers Limited,EQ
IRCON,Ircon International Limited,EQ
IRCTC,Indian Railway Catering And Tourism Corporation Limited,EQ
IREDA,Indian Renewable Energy Development Agency Limited,EQ
IRFC,Indian Railway Finance Corporation Limited,EQ
IRIS,IRIS RegTech Solutions Limited,EQ
IRISDOREME,Iris Clothings Limited,EQ
IRMENERGY,IRM Energy Limited,EQ
ISFT,Intrasoft Technologies Limited,EQ
ISGEC,Isgec Heavy Engineering Limited,EQ
ISHANCH,Ishan Dyes and Chemicals Limited,EQ
ITC,ITC Limited,EQ
ITCHOTELS,ITC Hotels Limited,EQ
ITDC,India Tourism Development Corporation Limited,EQ
ITI,ITI Limited,EQ
IVALUE,Ivalue Infosolutions Limited,EQ
IVC,IL&FS Investment Managers Limited,EQ
IVP,IVP Limited,EQ
IXIGO,Le Travenues Technology Limited,EQ
IZMO,IZMO Limited,EQ
J&KBANK,The Jammu & Kashmir Bank Limited,EQ
JAGRAN,Jagran Prakashan Limited,EQ
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,EQ
JAIBALAJI,Jai Balaji Industries Limited,EQ
JAICORPLTD,Jai Corp Limited,EQ
JAINREC,Jain Resource Recycling Limited,EQ
JAIPURKURT,Nandani Creation Limited,EQ
JAMNAAUTO,Jamna Auto Industries Limited,EQ
JARO,Jaro Institute of Technology Management and Research Limited,EQ
JASH,Jash Engineering Limited,EQ
JAYAGROGN,Jayant Agro Organics Limited,EQ
JAYBARMARU,Jay Bharat Maruti Limited,EQ
JAYKAY,Jaykay Enterprises Limited,EQ
JAYNECOIND,Jayaswal Neco Industries Limited,EQ
JAYSREETEA,Jayshree Tea & Industries Limited,EQ
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,EQ
JBMA,JBM Auto Limited,EQ
JETFREIGHT,Jet Freight Logistics Limited,BE
JGCHEM,J.G.Chemicals Limited,EQ
JHS,JHS Svendgaard Laboratories Limited,EQ
JINDALPHOT,Jindal Photo Limited,EQ
JINDALPOLY,Jindal Poly Films Limited,EQ
JINDALSAW,Jindal Saw Limited,EQ
JINDALSTEL,JINDAL STEEL LIMITED,EQ
JINDRILL,Jindal Drilling And Industries Limited,EQ
JINDWORLD,Jindal Worldwide Limited,EQ
JIOFIN,Jio Financial Services Limited,EQ
JISLDVREQS,Jain Irrigation Systems Limited,EQ
JISLJALEQS,Jain Irrigation Systems Limited,EQ
JITFINFRA,JITF Infralogistics Limited,EQ
JKCEMENT,JK Cement Limited,EQ
JKIL,J.Kumar Infraprojects Limited,EQ
JKIPL,Jinkushal Industries Limited,EQ
JKLAKSHMI,JK Lakshmi Cement Limited,EQ
JKPAPER,JK Paper Limited,EQ
JKTYRE,JK Tyre & Industries Limited,EQ
JLHL,Jupiter Life Line Hospitals Limited,EQ
JMA,Jullundur Motor Agency (Delhi) Limited,EQ
JMFINANCIL,JM Financial Limited,EQ
JNKINDIA,JNK India Limited,EQ
JOCIL,Jocil Limited,EQ
JPASSOCIAT,Jaiprakash Associates Limited,BE
JPOLYINVST,Jindal Poly Investment and Finance Company Limited,EQ
JPPOWER,Jaiprakash Power Ventures Limited,EQ
JSFB,Jana Small Finance Bank Limited,EQ
JSL,Jindal Stainless Limited,EQ
JSLL,Jeena Sikho Lifecare Limited,EQ
JSWCEMENT,JSW Cement Limited,EQ
JSWENERGY,JSW Energy Limited,EQ
JSWHL,JSW Holdings Limited,EQ
JSWINFRA,JSW Infrastructure Limited,EQ
JSWSTEEL,JSW Steel Limited,EQ
JTEKTINDIA,Jtekt India Limited,EQ
JTLIND,JTL INDUSTRIES LIMITED,EQ
JUBLCPL,Jubilant Agri and Consumer Products Limited,EQ
JUBLFOOD,Jubilant Foodworks Limited,EQ
JUBLINGREA,Jubilant Ingrevia Limited,EQ
JUBLPHARMA,Jubilant Pharmova Limited,EQ
JUNIPER,Juniper Hotels Limited,EQ
JUSTDIAL,Just Dial Limited,EQ
JWL,Jupiter Wagons Limited,EQ
JYOTHYLAB,Jyothy Labs Limited,EQ
JYOTICNC,Jyoti CNC Automation Limited,EQ
JYOTISTRUC,Jyoti Structures Limited,EQ
KABRAEXTRU,Kabra Extrusion Technik Limited,EQ
KAJARIACER,Kajaria Ceramics Limited,EQ
KAKATCEM,Kakatiya Cement Sugar & Industries Limited,EQ
KALAMANDIR,Sai Silks (Kalamandir) Limited,EQ
KALPATARU,Kalpataru Limited,EQ
KALYANI,Kalyani Commercials Limited,BE
KALYANIFRG,Kalyani Forge Limited,EQ
KALYANKJIL,Kalyan Jewellers India Limited,EQ
KAMATHOTEL,Kamat Hotels (I) Limited,EQ
KAMDHENU,Kamdhenu Limited,EQ
KAMOPAINTS,Kamdhenu Ventures Limited,EQ
KANANIIND,Kanani Industries Limited,EQ
KANORICHEM,Kanoria Chemicals & Industries Limited,EQ
KANPRPLA,Kanpur Plastipack Limited,EQ
KANSAINER,Kansai Nerolac Paints Limited,EQ
KAPSTON,Kapston Services Limited,BE
KARMAENG,Karma Energy Limited,EQ
KARURVYSYA,Karur Vysya Bank Limited,EQ
KAUSHALYA,Kaushalya Infrastructure Development Corporation Limited,EQ
KAVDEFENCE,Kavveri Defence & Wireless Technologies Limited,EQ
KAYA,Kaya Limited,EQ
KAYNES,Kaynes Technology India Limited,EQ
KCP,KCP Limited,EQ
KCPSUGIND,KCP Sugar and Industries Corporation Limited,EQ
KDDL,KDDL Limited,EQ
KEC,KEC International Limited,EQ
KECL,Kirloskar Electric Company Limited,EQ
KEEPLEARN,DSJ Keep Learning Limited,EQ
KEI,KEI Industries Limited,EQ
KELLTONTEC,Kellton Tech Solutions Limited,EQ
KERNEX,Kernex Microsystems (India) Limited,EQ
KESORAMIND,Kesoram Industries Limited,BE
KEYFINSERV,Keynote Financial Services Limited,EQ
KFINTECH,Kfin Technologies Limited,EQ
KHADIM,Khadim India Limited,EQ
KHAICHEM,Khaitan Chemicals & Fertilizers Limited,EQ
KHAITANLTD,Khaitan (India) Limited,EQ
KHANDSE,Khandwala Securities Limited,EQ
KICL,Kalyani Investment Company Limited,EQ
KILITCH,Kilitch Drugs (India) Limited,EQ
KIMS,Krishna Institute of Medical Sciences Limited,EQ
KINGFA,Kingfa Science & Technology (India) Limited,EQ
KIOCL,KIOCL Limited,EQ
KIRIINDUS,Kiri Industries Limited,EQ
KIRLOSBROS,Kirloskar Brothers Limited,EQ
KIRLOSENG,Kirloskar Oil Engines Limited,EQ
KIRLOSIND,Kirloskar Industries Limited,EQ
KIRLPNU,Kirloskar Pneumatic Company Limited,EQ
KITEX,Kitex Garments Limited,EQ
KKCL,Kewal Kiran Clothing Limited,EQ
KMEW,Knowledge Marine & Engineering Works Limited,EQ
KMSUGAR,K.M.Sugar Mills Limited,EQ
KNAGRI,KN Agri Resources Limited,EQ
KNRCON,KNR Constructions Limited,EQ
KOHINOOR,Kohinoor Foods Limited,EQ
KOKUYOCMLN,Kokuyo Camlin Limited,EQ
KOLTEPATIL,Kolte - Patil Developers Limited,EQ
KOPRAN,Kopran Limited,EQ
KOTAKBANK,Kotak Mahindra Bank Limited,EQ
KOTARISUG,Kothari Sugars And Chemicals Limited,EQ
KOTHARIPET,Kothari Petrochemicals Limited,EQ
KOTHARIPRO,Kothari Products Limited,EQ
KPEL,K.P. Energy Limited,EQ
KPIGREEN,KPI Green Energy Limited,EQ
KPIL,Kalpataru Projects International Limited,EQ
KPITTECH,KPIT Technologies Limited,EQ
KPRMILL,K.P.R. Mill Limited,EQ
KRBL,KRBL Limited,EQ
KREBSBIO,Krebs Biochemicals and Industries Limited,EQ
KRIDHANINF,Kridhan Infra Limited,EQ
KRISHANA,Krishana Phoschem Limited,EQ
KRISHIVAL,Krishival Foods Limited,EQ
KRISHNADEF,Krishna Defence And Allied Industries Limited,EQ
KRITI,Kriti Industries (India) Limited,EQ
KRITIKA,Kritika Wires Limited,EQ
KRITINUT,Kriti Nutrients Limited,EQ
KRN,KRN Heat Exchanger and Refrigeration Limited,EQ
KRONOX,Kronox Lab Sciences Limited,EQ
KROSS,Kross Limited,EQ
KRSNAA,Krsnaa Diagnostics Limited,EQ
KRYSTAL,Krystal Integrated Services Limited,EQ
KSB,Ksb Limited,EQ
KSCL,Kaveri Seed Company Limited,EQ
KSHINTL,KSH International Limited,EQ
KSHITIJPOL,Kshitij Polyline Limited,EQ
KSL,Kalyani Steels Limited,EQ
KSOLVES,Ksolves India Limited,EQ
KSR,KSR Footwear Limited,BE
KTKBANK,The Karnataka Bank Limited,EQ
KUANTUM,Kuantum Papers Limited,EQ
KWIL,Kwality Wall's (India) Limited,BE
LAGNAM,Lagnam Spintex Limited,EQ
LAKPRE,Lakshmi Precision Screws Limited,BZ
LAL,Lorenzini Apparels Limited,EQ
LALPATHLAB,Dr. Lal Path Labs Ltd.,EQ
LAMBODHARA,Lambodhara Textiles Limited,EQ
LANCORHOL,Lancor Holdings Limited,BE
LANDMARK,Landmark Cars Limited,EQ
LAOPALA,La Opala RG Limited,EQ
LASA,Lasa Supergenerics Limited,EQ
LATENTVIEW,Latent View Analytics Limited,EQ
LATTEYS,Latteys Industries Limited,EQ
LAURUSLABS,Laurus Labs Limited,EQ
LAXMICOT,Laxmi Cotspin Limited,EQ
LAXMIDENTL,Laxmi Dental Limited,EQ
LAXMIINDIA,Laxmi India Finance Limited,EQ
LCCINFOTEC,LCC Infotech Limited,BE
LEMERITE,Le Merite Exports Limited,EQ
LEMONTREE,Lemon Tree Hotels Limited,EQ
LENSKART,Lenskart Solutions Limited,EQ
LEXUS,Lexus Granito (India) Limited,EQ
LFIC,Lakshmi Finance & Industrial Corporation Limited,EQ
LGBBROSLTD,LG Balakrishnan & Bros Limited,EQ
LGEINDIA,LG Electronics India Limited,EQ
LGHL,Laxmi Goldorna House Limited,EQ
